strategy_id,strategy,alarm_threshold,dataset,Z0,rmse,mae,direction_accuracy,avg_changepoint_prob,runtime_s
fixed_ws5,Fixed ws=5,0.01,"Z0=5,  mu=10",5,3.0070244003107107,2.227246127159193,51.503006012024045,0.028175240007110684,7.5120849609375
fixed_ws10,Fixed ws=10,0.01,"Z0=5,  mu=10",5,3.860930394699753,3.0073214967309503,53.90781563126252,0.028175240007110684,7.490907907485962
adaptive_std,Adaptive (rolling_std),0.01,"Z0=5,  mu=10",5,3.342020656530337,2.4886968861250023,54.400000000000006,0.028175240007110684,6.826663970947266
adaptive_ewma,Adaptive (EWMA),0.01,"Z0=5,  mu=10",5,2.802998560318705,2.0847839966666206,52.2,0.028175240007110684,6.808961868286133
fixed_ws5,Fixed ws=5,0.011,"Z0=5,  mu=10",5,3.0070244003107107,2.227246127159193,51.503006012024045,0.028175240007110684,7.14504075050354
fixed_ws10,Fixed ws=10,0.011,"Z0=5,  mu=10",5,3.860930394699753,3.0073214967309503,53.90781563126252,0.028175240007110684,7.344320058822632
adaptive_std,Adaptive (rolling_std),0.011,"Z0=5,  mu=10",5,3.5826795589109226,2.7054304784466283,53.6,0.028175240007110684,6.842442989349365
adaptive_ewma,Adaptive (EWMA),0.011,"Z0=5,  mu=10",5,2.869542409740437,2.170973047267118,52.400000000000006,0.028175240007110684,6.854228973388672
fixed_ws5,Fixed ws=5,0.012,"Z0=5,  mu=10",5,3.0070244003107107,2.227246127159193,51.503006012024045,0.028175240007110684,6.870065927505493
fixed_ws10,Fixed ws=10,0.012,"Z0=5,  mu=10",5,3.860930394699753,3.0073214967309503,53.90781563126252,0.028175240007110684,6.830039739608765
adaptive_std,Adaptive (rolling_std),0.012,"Z0=5,  mu=10",5,3.889250114567274,2.8735459361497555,53.0,0.028175240007110684,6.9264068603515625
adaptive_ewma,Adaptive (EWMA),0.012,"Z0=5,  mu=10",5,3.088634431992977,2.303330463483461,52.800000000000004,0.028175240007110684,6.8841071128845215
fixed_ws5,Fixed ws=5,0.013,"Z0=5,  mu=10",5,3.0070244003107107,2.227246127159193,51.503006012024045,0.028175240007110684,6.922798156738281
fixed_ws10,Fixed ws=10,0.013,"Z0=5,  mu=10",5,3.860930394699753,3.0073214967309503,53.90781563126252,0.028175240007110684,6.926282167434692
adaptive_std,Adaptive (rolling_std),0.013,"Z0=5,  mu=10",5,3.8491174026720434,2.8304319803407316,53.6,0.028175240007110684,7.075609922409058
adaptive_ewma,Adaptive (EWMA),0.013,"Z0=5,  mu=10",5,3.212433876146436,2.4373747251134907,52.6,0.028175240007110684,6.823698997497559
fixed_ws5,Fixed ws=5,0.014,"Z0=5,  mu=10",5,3.0070244003107107,2.227246127159193,51.503006012024045,0.028175240007110684,6.829576015472412
fixed_ws10,Fixed ws=10,0.014,"Z0=5,  mu=10",5,3.860930394699753,3.0073214967309503,53.90781563126252,0.028175240007110684,6.842863321304321
adaptive_std,Adaptive (rolling_std),0.014,"Z0=5,  mu=10",5,3.8790933122824978,2.867163148141201,53.800000000000004,0.028175240007110684,7.1447529792785645
adaptive_ewma,Adaptive (EWMA),0.014,"Z0=5,  mu=10",5,3.270509952192821,2.4895885862066773,53.6,0.028175240007110684,7.23229193687439
fixed_ws5,Fixed ws=5,0.015,"Z0=5,  mu=10",5,3.0070244003107107,2.227246127159193,51.503006012024045,0.028175240007110684,6.783623933792114
fixed_ws10,Fixed ws=10,0.015,"Z0=5,  mu=10",5,3.860930394699753,3.0073214967309503,53.90781563126252,0.028175240007110684,6.699872016906738
adaptive_std,Adaptive (rolling_std),0.015,"Z0=5,  mu=10",5,4.049707699053211,3.0681831477352617,53.400000000000006,0.028175240007110684,6.702016830444336
adaptive_ewma,Adaptive (EWMA),0.015,"Z0=5,  mu=10",5,3.24757313430691,2.4694055412805946,54.0,0.028175240007110684,6.808044195175171
fixed_ws5,Fixed ws=5,0.01,"Z0=80, mu=100",80,3.1708080811665496,2.3965047405497053,50.1002004008016,0.024101477430725327,6.617682218551636
fixed_ws10,Fixed ws=10,0.01,"Z0=80, mu=100",80,4.1328710488360265,3.1906909086437034,54.50901803607214,0.024101477430725327,6.595193862915039
adaptive_std,Adaptive (rolling_std),0.01,"Z0=80, mu=100",80,4.249883807614772,3.3176779005969026,50.8,0.024101477430725327,6.924275159835815
adaptive_ewma,Adaptive (EWMA),0.01,"Z0=80, mu=100",80,3.947764108405323,3.1169212777392232,52.800000000000004,0.024101477430725327,6.640104293823242
fixed_ws5,Fixed ws=5,0.011,"Z0=80, mu=100",80,3.1708080811665496,2.3965047405497053,50.1002004008016,0.024101477430725327,6.881724119186401
fixed_ws10,Fixed ws=10,0.011,"Z0=80, mu=100",80,4.1328710488360265,3.1906909086437034,54.50901803607214,0.024101477430725327,6.935136795043945
adaptive_std,Adaptive (rolling_std),0.011,"Z0=80, mu=100",80,4.2401004958280835,3.339503008002729,51.2,0.024101477430725327,6.944392919540405
adaptive_ewma,Adaptive (EWMA),0.011,"Z0=80, mu=100",80,3.860539784287871,3.011258152608656,52.6,0.024101477430725327,6.790265798568726
fixed_ws5,Fixed ws=5,0.012,"Z0=80, mu=100",80,3.1708080811665496,2.3965047405497053,50.1002004008016,0.024101477430725327,7.5652079582214355
fixed_ws10,Fixed ws=10,0.012,"Z0=80, mu=100",80,4.1328710488360265,3.1906909086437034,54.50901803607214,0.024101477430725327,7.169631004333496
adaptive_std,Adaptive (rolling_std),0.012,"Z0=80, mu=100",80,4.277329598229093,3.3438265602977535,51.0,0.024101477430725327,6.631612062454224
adaptive_ewma,Adaptive (EWMA),0.012,"Z0=80, mu=100",80,4.199297267936121,3.2795303277554617,52.2,0.024101477430725327,7.625657081604004
fixed_ws5,Fixed ws=5,0.013,"Z0=80, mu=100",80,3.1708080811665496,2.3965047405497053,50.1002004008016,0.024101477430725327,6.7952539920806885
fixed_ws10,Fixed ws=10,0.013,"Z0=80, mu=100",80,4.1328710488360265,3.1906909086437034,54.50901803607214,0.024101477430725327,6.595131158828735
adaptive_std,Adaptive (rolling_std),0.013,"Z0=80, mu=100",80,4.164022132277019,3.292589807653254,51.2,0.024101477430725327,6.622282028198242
adaptive_ewma,Adaptive (EWMA),0.013,"Z0=80, mu=100",80,4.296959536635579,3.3938895127642525,53.0,0.024101477430725327,6.933377027511597
fixed_ws5,Fixed ws=5,0.014,"Z0=80, mu=100",80,3.1708080811665496,2.3965047405497053,50.1002004008016,0.024101477430725327,6.780885934829712
fixed_ws10,Fixed ws=10,0.014,"Z0=80, mu=100",80,4.1328710488360265,3.1906909086437034,54.50901803607214,0.024101477430725327,6.493664026260376
adaptive_std,Adaptive (rolling_std),0.014,"Z0=80, mu=100",80,4.690398299141567,3.7415630492513476,49.4,0.024101477430725327,6.582772970199585
adaptive_ewma,Adaptive (EWMA),0.014,"Z0=80, mu=100",80,4.8054976431694545,3.7954292992819783,51.0,0.024101477430725327,6.647519826889038
fixed_ws5,Fixed ws=5,0.015,"Z0=80, mu=100",80,3.1708080811665496,2.3965047405497053,50.1002004008016,0.024101477430725327,6.7261481285095215
fixed_ws10,Fixed ws=10,0.015,"Z0=80, mu=100",80,4.1328710488360265,3.1906909086437034,54.50901803607214,0.024101477430725327,6.551209926605225
adaptive_std,Adaptive (rolling_std),0.015,"Z0=80, mu=100",80,4.856032416165904,3.872387657199375,49.6,0.024101477430725327,6.621776103973389
adaptive_ewma,Adaptive (EWMA),0.015,"Z0=80, mu=100",80,4.659085309663469,3.6550063097074545,51.6,0.024101477430725327,6.627395153045654
