method_id,method,dataset,Z0,a,b,delta,rmse,mae,mape,direction_accuracy,n_predictions,runtime_s
bayesian,Bayesian (BOCPD),"Z0=5,  a=0.3, b=120, d=1.0  (low Z0, moderate)",5,0.3,120,1.0,28.41843367150554,19.32071925672491,56.871854775856924,41.21212121212121,496,8.18577265739441
kalman,Kalman (OU),"Z0=5,  a=0.3, b=120, d=1.0  (low Z0, moderate)",5,0.3,120,1.0,1.8801662046185659,1.4817507524504299,2.5363164281741706,56.56565656565656,496,0.13758182525634766
cpd_mmd,CPD-MMD (OLS),"Z0=5,  a=0.3, b=120, d=1.0  (low Z0, moderate)",5,0.3,120,1.0,3.026098061864866,2.2280140945248372,3.54513182485314,51.10220440881763,500,0.1455850601196289
cpd_bayesian_fixed,BOOLES fixed-window,"Z0=5,  a=0.3, b=120, d=1.0  (low Z0, moderate)",5,0.3,120,1.0,2.966849871653683,2.197978723061627,3.5132604834974726,52.30460921843687,500,6.660598993301392
cpd_bayesian_adaptive_std,BOOLES adaptive (rolling_std),"Z0=5,  a=0.3, b=120, d=1.0  (low Z0, moderate)",5,0.3,120,1.0,4.150119015681414,2.9238563918323166,4.248826976679126,50.6,501,6.8798909187316895
cpd_bayesian_adaptive_ewma,BOOLES adaptive (EWMA),"Z0=5,  a=0.3, b=120, d=1.0  (low Z0, moderate)",5,0.3,120,1.0,2.6701522756857408,1.9346979431693463,2.994557282739645,55.400000000000006,501,7.155119180679321
bayesian,Bayesian (BOCPD),"Z0=5,  a=0.5, b=130, d=3.0  (low Z0, high noise)",5,0.5,130,3.0,41.508448898319855,33.00116352247367,49.889661852448135,46.06060606060606,496,6.628380060195923
kalman,Kalman (OU),"Z0=5,  a=0.5, b=130, d=3.0  (low Z0, high noise)",5,0.5,130,3.0,4.752026138986359,3.778829025714668,4.082240347325827,53.13131313131313,496,0.13541889190673828
cpd_mmd,CPD-MMD (OLS),"Z0=5,  a=0.5, b=130, d=3.0  (low Z0, high noise)",5,0.5,130,3.0,11.653828059469458,8.718620436629827,8.9801947197922,49.69939879759519,500,0.13987183570861816
cpd_bayesian_fixed,BOOLES fixed-window,"Z0=5,  a=0.5, b=130, d=3.0  (low Z0, high noise)",5,0.5,130,3.0,11.40116963407902,8.381082341504394,8.523420677047126,48.49699398797595,500,6.569495916366577
cpd_bayesian_adaptive_std,BOOLES adaptive (rolling_std),"Z0=5,  a=0.5, b=130, d=3.0  (low Z0, high noise)",5,0.5,130,3.0,14.46355986101183,11.079496473090828,10.539895951094273,50.2,501,6.948395013809204
cpd_bayesian_adaptive_ewma,BOOLES adaptive (EWMA),"Z0=5,  a=0.5, b=130, d=3.0  (low Z0, high noise)",5,0.5,130,3.0,10.476169149027244,8.207533081027622,8.162765044097506,50.6,501,6.805051803588867
bayesian,Bayesian (BOCPD),"Z0=5,  a=0.8, b=80,  d=0.3  (low Z0, fast rev.)",5,0.8,80,0.3,17.499598586736205,9.306058253893458,26.425490970096067,41.01010101010101,496,6.538143873214722
kalman,Kalman (OU),"Z0=5,  a=0.8, b=80,  d=0.3  (low Z0, fast rev.)",5,0.8,80,0.3,2.7209451672187916,1.593154358899487,3.4641522142663845,59.59595959595959,496,0.13257670402526855
cpd_mmd,CPD-MMD (OLS),"Z0=5,  a=0.8, b=80,  d=0.3  (low Z0, fast rev.)",5,0.8,80,0.3,1.0039917962047502,0.7612847417644052,1.3772439869828041,60.52104208416834,500,0.14903903007507324
cpd_bayesian_fixed,BOOLES fixed-window,"Z0=5,  a=0.8, b=80,  d=0.3  (low Z0, fast rev.)",5,0.8,80,0.3,0.9220490075601145,0.689293224137689,1.1741021604694348,58.717434869739485,500,7.219735860824585
cpd_bayesian_adaptive_std,BOOLES adaptive (rolling_std),"Z0=5,  a=0.8, b=80,  d=0.3  (low Z0, fast rev.)",5,0.8,80,0.3,1.2910876036266448,1.0093058159472708,1.5397084006568191,61.4,501,6.794189929962158
cpd_bayesian_adaptive_ewma,BOOLES adaptive (EWMA),"Z0=5,  a=0.8, b=80,  d=0.3  (low Z0, fast rev.)",5,0.8,80,0.3,1.3338132544893393,1.0268675247833736,1.5870027179222292,59.8,501,6.625676870346069
bayesian,Bayesian (BOCPD),"Z0=80, a=0.3, b=120, d=1.0  (high Z0, moderate)",80,0.3,120,1.0,25.64847860988633,19.612981242393303,18.574703128396077,46.666666666666664,496,6.650360107421875
kalman,Kalman (OU),"Z0=80, a=0.3, b=120, d=1.0  (high Z0, moderate)",80,0.3,120,1.0,2.172572380319404,1.7217623500117223,1.4172736322819888,52.121212121212125,496,0.13252711296081543
cpd_mmd,CPD-MMD (OLS),"Z0=80, a=0.3, b=120, d=1.0  (high Z0, moderate)",80,0.3,120,1.0,3.8587874845193944,2.8697602070049215,2.3327841056053167,52.30460921843687,500,0.13956403732299805
cpd_bayesian_fixed,BOOLES fixed-window,"Z0=80, a=0.3, b=120, d=1.0  (high Z0, moderate)",80,0.3,120,1.0,3.7293898512190222,2.789868272855891,2.2774837667475927,51.703406813627254,500,6.665888071060181
cpd_bayesian_adaptive_std,BOOLES adaptive (rolling_std),"Z0=80, a=0.3, b=120, d=1.0  (high Z0, moderate)",80,0.3,120,1.0,4.885491547285845,3.788371014416606,3.118355606766916,48.8,501,6.805693864822388
cpd_bayesian_adaptive_ewma,BOOLES adaptive (EWMA),"Z0=80, a=0.3, b=120, d=1.0  (high Z0, moderate)",80,0.3,120,1.0,3.7789756290391754,2.806130006293588,2.28341387831424,50.70140280561122,500,6.730437278747559
bayesian,Bayesian (BOCPD),"Z0=80, a=0.1, b=100, d=0.5  (high Z0, slow rev.)",80,0.1,100,0.5,3.7699370804014274,3.1529593534000924,3.7695725159656033,49.09090909090909,496,6.556055068969727
kalman,Kalman (OU),"Z0=80, a=0.1, b=100, d=0.5  (high Z0, slow rev.)",80,0.1,100,0.5,1.0251503184065875,0.8152804080876377,0.985216174376796,52.121212121212125,496,0.13186883926391602
cpd_mmd,CPD-MMD (OLS),"Z0=80, a=0.1, b=100, d=0.5  (high Z0, slow rev.)",80,0.1,100,0.5,1.495493881601174,1.1312149651894097,1.3749206946232284,52.104208416833664,500,0.1363060474395752
cpd_bayesian_fixed,BOOLES fixed-window,"Z0=80, a=0.1, b=100, d=0.5  (high Z0, slow rev.)",80,0.1,100,0.5,1.5101129149637813,1.142085212012865,1.3871608462287273,51.503006012024045,500,6.6669089794158936
cpd_bayesian_adaptive_std,BOOLES adaptive (rolling_std),"Z0=80, a=0.1, b=100, d=0.5  (high Z0, slow rev.)",80,0.1,100,0.5,1.845006132836149,1.4079492855906812,1.7070121110564151,52.2,501,7.361274003982544
cpd_bayesian_adaptive_ewma,BOOLES adaptive (EWMA),"Z0=80, a=0.1, b=100, d=0.5  (high Z0, slow rev.)",80,0.1,100,0.5,1.7329369928084237,1.333365061392634,1.6198222977779624,55.2,501,6.802593946456909
bayesian,Bayesian (BOCPD),"Z0=80, a=0.8, b=80,  d=0.3  (high Z0, fast rev.)",80,0.8,80,0.3,2.556968623456348,2.2748573326943733,2.8568500033602553,48.68686868686869,496,6.807315111160278
kalman,Kalman (OU),"Z0=80, a=0.8, b=80,  d=0.3  (high Z0, fast rev.)",80,0.8,80,0.3,0.7747708053198942,0.6263795907229811,0.7789271460564635,50.90909090909091,496,0.13300299644470215
cpd_mmd,CPD-MMD (OLS),"Z0=80, a=0.8, b=80,  d=0.3  (high Z0, fast rev.)",80,0.8,80,0.3,1.0268419074887372,0.773245202595695,0.9634021507755007,47.89579158316633,500,0.14223623275756836
cpd_bayesian_fixed,BOOLES fixed-window,"Z0=80, a=0.8, b=80,  d=0.3  (high Z0, fast rev.)",80,0.8,80,0.3,0.9820913709368203,0.7350614730874582,0.9165274780330354,48.69739478957916,500,6.638422966003418
cpd_bayesian_adaptive_std,BOOLES adaptive (rolling_std),"Z0=80, a=0.8, b=80,  d=0.3  (high Z0, fast rev.)",80,0.8,80,0.3,1.165437402210374,0.8832686678776382,1.0979140242734557,52.2,501,6.835960149765015
cpd_bayesian_adaptive_ewma,BOOLES adaptive (EWMA),"Z0=80, a=0.8, b=80,  d=0.3  (high Z0, fast rev.)",80,0.8,80,0.3,1.1579308616190764,0.8869751765152551,1.104396966705238,47.0,501,6.860542058944702
